lng,lat,parcel_id
-72.71590,41.76809,110297011
-72.71592,41.76785,110297012
-72.71591,41.76761,110297013
-72.71589,41.76747,110297014
-72.71588,41.76729,110297015
-72.71587,41.76712,110297016
-72.71584,41.76685,110297017
-72.71531,41.76683,110297018
-72.71533,41.76703,110297019
-72.71534,41.76714,110297020
-72.71536,41.76731,110297021
-72.71537,41.76748,110297022
-72.71539,41.76765,110297023
-72.71541,41.76782,110297024
-72.71543,41.76798,110297025
-72.71539,41.76814,110297026
-72.71541,41.76834,110297027
-72.71403,41.77057,110298072
-72.71466,41.77033,110299039
-72.71471,41.77019,110299040
-72.71475,41.77003,110299041
-72.71479,41.76987,110299042
-72.71482,41.76971,110299043
-72.71485,41.76957,110299044
-72.71487,41.76943,110299045
-72.71483,41.76923,110299046
-72.71498,41.76892,110299062
-72.71475,41.76893,110299063
-72.71449,41.76899,110299064
-72.71425,41.76903,110299065
-72.71440,41.76943,110299066
-72.71434,41.76963,110299067
-72.71430,41.76977,110299068
-72.71425,41.76994,110299069
-72.71419,41.77010,110299070
-72.71413,41.77027,110299071
-72.71476,41.76822,110300047
-72.71471,41.76783,110300049
-72.71468,41.76760,110300050
-72.71463,41.76714,110300051
-72.71460,41.76688,110300052
-72.71458,41.76675,110300053
-72.71407,41.76692,110300054
-72.71411,41.76720,110300055
-72.71414,41.76737,110300056
-72.71419,41.76771,110300057
-72.71449,41.76805,110300058
-72.71427,41.76829,110300059
-72.71431,41.76851,110300060
-72.71479,41.76842,110300061
-72.71333,41.77053,110301073
-72.71261,41.77013,110302074
-72.71279,41.77002,110302075
-72.71299,41.77000,110302076
-72.71319,41.77005,110302077
-72.71348,41.77020,110302078
-72.71352,41.77007,110302079
-72.71355,41.76994,110302080
-72.71358,41.76980,110302081
-72.71376,41.76964,110302082
-72.71366,41.76957,110302083
-72.71375,41.76941,110302084
-72.71303,41.76960,110302085
-72.71372,41.76930,110302086
-72.71386,41.76900,110302087
-72.71367,41.76902,110302105
-72.71347,41.76905,110302106
-72.71327,41.76909,110302107
-72.71309,41.76922,110302108
-72.71290,41.76930,110302109
-72.71265,41.76924,110302110
-72.71364,41.76856,110303088
-72.71360,41.76834,110303089
-72.71357,41.76816,110303090
-72.71350,41.76777,110303091
-72.71345,41.76748,110303092
-72.71341,41.76725,110303093
-72.71338,41.76706,110303094
-72.71331,41.76671,110303095
-72.71280,41.76681,110303096
-72.71286,41.76712,110303097
-72.71289,41.76732,110303098
-72.71293,41.76750,110303099
-72.71298,41.76778,110303100
-72.71303,41.76802,110303101
-72.71306,41.76817,110303102
-72.71310,41.76834,110303103
-72.71314,41.76858,110303104
-72.71582,41.76655,111297001
-72.71587,41.76602,111297032
-72.71560,41.76604,111297033
-72.71541,41.76598,111297034
-72.71513,41.76598,111297035
-72.71516,41.76625,111297036
-72.71527,41.76646,111297037
-72.71529,41.76665,111297038
-72.71457,41.76665,111300039
-72.71455,41.76653,111300040
-72.71445,41.76612,111300071
-72.71390,41.76614,111300072
-72.71395,41.76642,111300073
-72.71403,41.76669,111300074
-72.71338,41.76632,111303075
-72.71312,41.76635,111303076
-72.71285,41.76636,111303077
-72.71257,41.76637,111303078
-72.71263,41.76664,111303079
-72.71562,41.76488,111365002
-72.71560,41.76472,111365003
-72.71557,41.76454,111365004
-72.71554,41.76436,111365005
-72.71552,41.76420,111365006
-72.71550,41.76405,111365007
-72.71548,41.76389,111365008
-72.71545,41.76373,111365009
-72.71543,41.76356,111365010
-72.71541,41.76340,111365011
-72.71538,41.76324,111365012
-72.71536,41.76307,111365013
-72.71534,41.76293,111365014
-72.71479,41.76296,111365015
-72.71481,41.76312,111365016
-72.71484,41.76328,111365017
-72.71486,41.76344,111365018
-72.71488,41.76361,111365019
-72.71491,41.76377,111365020
-72.71493,41.76393,111365021
-72.71495,41.76409,111365022
-72.71498,41.76425,111365023
-72.71500,41.76440,111365024
-72.71502,41.76458,111365025
-72.71505,41.76475,111365026
-72.71507,41.76489,111365027
-72.71509,41.76501,111365028
-72.71505,41.76536,111365029
-72.71541,41.76533,111365030
-72.71577,41.76525,111365031
-72.71437,41.76512,111371041
-72.71435,41.76496,111371042
-72.71433,41.76482,111371043
-72.71430,41.76466,111371044
-72.71428,41.76449,111371045
-72.71426,41.76433,111371046
-72.71423,41.76417,111371047
-72.71420,41.76397,111371048
-72.71418,41.76382,111371049
-72.71416,41.76369,111371050
-72.71414,41.76352,111371051
-72.71411,41.76335,111371052
-72.71409,41.76318,111371053
-72.71407,41.76304,111371054
-72.71352,41.76307,111371055
-72.71354,41.76322,111371056
-72.71356,41.76339,111371057
-72.71359,41.76355,111371058
-72.71361,41.76371,111371059
-72.71363,41.76387,111371060
-72.71366,41.76402,111371061
-72.71368,41.76421,111371062
-72.71371,41.76437,111371063
-72.71373,41.76454,111371064
-72.71376,41.76470,111371065
-72.71378,41.76486,111371066
-72.71381,41.76507,111371067
-72.71382,41.76516,111371068
-72.71384,41.76551,111371069
-72.71439,41.76547,111371070
-72.71247,41.76568,111375080
-72.71273,41.76566,111375081
-72.71295,41.76563,111375082
-72.71324,41.76561,111375083
-72.71310,41.76524,111375084
-72.71307,41.76507,111375085
-72.71305,41.76495,111375086
-72.71303,41.76479,111375087
-72.71302,41.76470,111375088
-72.71300,41.76456,111375089
-72.71298,41.76442,111375090
-72.71294,41.76420,111375091
-72.71292,41.76407,111375092
-72.71290,41.76394,111375093
-72.71288,41.76377,111375094
-72.71285,41.76360,111375095
-72.71283,41.76344,111375096
-72.71281,41.76328,111375097
-72.71293,41.76298,111375098
-72.71273,41.76299,111375099
-72.71252,41.76300,111375100
-72.71247,41.76476,111375101
-72.71249,41.76488,111375102
-72.71251,41.76499,111375103
-72.71253,41.76511,111375104
-72.71255,41.76529,111375105
-72.71532,41.76279,112365001
-72.71530,41.76265,112365002
-72.71494,41.76274,112365044
-72.71466,41.76269,112365045
-72.71468,41.76283,112365046
-72.71533,41.76234,112366003
-72.71531,41.76220,112366004
-72.71518,41.76207,112366005
-72.71519,41.76191,112366006
-72.71518,41.76179,112366007
-72.71516,41.76164,112366008
-72.71513,41.76146,112366009
-72.71511,41.76128,112366010
-72.71508,41.76113,112366011
-72.71516,41.76092,112366012
-72.71472,41.76116,112366031
-72.71445,41.76121,112366032
-72.71457,41.76143,112366033
-72.71459,41.76154,112366034
-72.71461,41.76169,112366035
-72.71463,41.76183,112366036
-72.71465,41.76197,112366037
-72.71463,41.76210,112366038
-72.71454,41.76224,112366039
-72.71456,41.76235,112366040
-72.71476,41.76237,112366041
-72.71490,41.76229,112366042
-72.71505,41.76233,112366043
-72.71489,41.76056,112367013
-72.71500,41.76039,112367014
-72.71497,41.76022,112367015
-72.71495,41.76010,112367016
-72.71445,41.76011,112367026
-72.71446,41.76028,112367027
-72.71447,41.76040,112367028
-72.71438,41.76061,112367029
-72.71465,41.76057,112367030
-72.71487,41.75954,112368017
-72.71487,41.75940,112368018
-72.71485,41.75927,112368019
-72.71439,41.75916,112368020
-72.71440,41.75930,112368021
-72.71441,41.75944,112368022
-72.71440,41.75957,112368023
-72.71450,41.75982,112368024
-72.71489,41.75969,112368025
-72.71380,41.75990,112369087
-72.71380,41.75975,112369088
-72.71381,41.75963,112369089
-72.71381,41.75949,112369090
-72.71382,41.75935,112369091
-72.71382,41.75922,112369092
-72.71383,41.75908,112369093
-72.71344,41.75909,112369094
-72.71343,41.75922,112369095
-72.71342,41.75936,112369096
-72.71341,41.75950,112369097
-72.71340,41.75962,112369098
-72.71339,41.75975,112369099
-72.71338,41.75992,112369100
-72.71420,41.76280,112371047
-72.71398,41.76281,112371071
-72.71376,41.76283,112371072
-72.71354,41.76285,112371073
-72.71332,41.76286,112371074
-72.71392,41.76205,112372048
-72.71384,41.76191,112372049
-72.71363,41.76178,112372050
-72.71382,41.76161,112372051
-72.71381,41.76148,112372052
-72.71380,41.76134,112372053
-72.71392,41.76118,112372054
-72.71339,41.76151,112372055
-72.71319,41.76161,112372056
-72.71300,41.76162,112372057
-72.71279,41.76165,112372058
-72.71257,41.76166,112372059
-72.71280,41.76185,112372060
-72.71281,41.76199,112372061
-72.71282,41.76213,112372062
-72.71265,41.76241,112372063
-72.71284,41.76240,112372064
-72.71303,41.76244,112372065
-72.71331,41.76226,112372066
-72.71359,41.76229,112372067
-72.71378,41.76233,112372068
-72.71396,41.76232,112372069
-72.71414,41.76231,112372070
-72.71245,41.76087,112373075
-72.71263,41.76085,112373076
-72.71282,41.76083,112373077
-72.71300,41.76076,112373078
-72.71320,41.76078,112373079
-72.71342,41.76082,112373080
-72.71362,41.76082,112373081
-72.71386,41.76078,112373082
-72.71378,41.76063,112373083
-72.71378,41.76045,112373084
-72.71379,41.76032,112373085
-72.71379,41.76019,112373086
-72.71349,41.76033,112373101
-72.71336,41.76030,112373102
-72.71321,41.76043,112373103
-72.71305,41.76037,112373104
-72.71287,41.76039,112373105
-72.71269,41.76041,112373106
-72.71253,41.76043,112373107
-72.71251,41.75996,112374108
